,Dates,Score,Change in SPY,predicted_change,true_change
700,10/12/22,1.44087889,-1.179992676,1.4922963,-12.416978734705925
701,10/13/22,-0.22566811,9.410003662,1.4956447,82.45535435764702
702,10/14/22,3.18466914,-8.339996338,1.493451,-76.56112295185295
703,10/17/22,0.4801234,9.190002441,1.4918451,80.48443496794513
704,10/18/22,0.954906,4.309997559,1.4979712,36.76605831505486
705,10/19/22,2.38163,-2.630004883,1.4993683,-25.407166521348937
706,10/20/22,2.2108,-3.089996338,1.5015903,-29.528080367352963
707,10/21/22,0.054245,8.880004883,1.4974287,77.70726766384894
708,10/24/22,0.8757,4.579986572,1.4961663,39.18480207615507
709,10/25/22,1.100754,6.050018311,1.5000956,52.354338339193845
710,10/26/22,1.6189885,-2.900024414,1.4966985,-27.82618368328603
711,10/27/22,2.9783365,-2.039978027,1.49585,-20.121307808159102
712,10/28/22,2.10580283,9.039978027,1.5016685,79.1404150341591
713,10/31/22,0.70097,-2.809997559,1.4950076,-27.019662368054867
714,11/1/22,0.880603,-1.690002441,1.4998451,-16.985990352945134
715,11/2/22,2.071833,-9.649993896,1.5025728,-88.29696503394914
716,11/3/22,2.51511,-3.859985352,1.4996502,-36.42616152641185
717,11/4/22,2.167491357,5.339996338,1.4979492,45.99348239785295
718,11/7/22,1.34,3.600006104,1.5051342,30.405475774550844
719,11/8/22,0.521529,2.049987793,1.5089915,16.519365826356985
720,11/9/22,1.86457389,-7.869995117,1.5114344,-72.35053486765105
721,11/10/22,1.522436,20.55999756,1.5112525,182.34452346651352
722,11/11/22,1.012604,3.820007324,1.5055583,32.37639515529407
